,H,B,tw,tf,A,Z
2538,450,400,14,36,34092,5778548.64
2539,450,400,14,40,37180,6258497.037
2541,450,400,16,12,16416,2504974.08
2542,450,400,16,16,19488,3112852.338
2543,450,400,16,19,21792,3553756.018
2544,450,400,16,22,24096,3982003.058
2545,450,400,16,25,26400,4397777.778
2546,450,400,16,28,28704,4801264.498
2547,450,400,16,32,31776,5320450.702
2548,450,400,16,36,34848,5818556.16
2549,450,400,16,40,37920,6296017.778
2551,450,400,19,12,17694,2590872.72
2552,450,400,19,16,20742,3194001.929
2553,450,400,19,19,23028,3631461.049
2554,450,400,19,22,25314,4056362.409
2555,450,400,19,25,27600,4468888.889
2556,450,400,19,28,29886,4869223.369
2557,450,400,19,32,32934,5384353.431
2558,450,400,19,36,35982,5878567.44
2559,450,400,19,40,39030,6352298.889
2561,450,400,22,12,18972,2676771.36
2562,450,400,22,16,21996,3275151.52
2563,450,400,22,19,24264,3709166.08
2564,450,400,22,22,26532,4130721.76
2565,450,400,22,25,28800,4540000
2566,450,400,22,28,31068,4937182.24
2567,450,400,22,32,34092,5448256.16
2568,450,400,22,36,37116,5938578.72
2569,450,400,22,40,40140,6408580
3111,500,200,9,12,9084,1466872.128
3112,500,200,9,16,10612,1807294.229
3113,500,200,9,19,11758,2055091.517
3114,500,200,9,22,12904,2296535.381
3115,500,200,9,25,14050,2531708.333
3116,500,200,9,28,15196,2760692.885
3117,500,200,9,32,16724,3056521.835
3118,500,200,9,36,18252,3341691.456
3119,500,200,9,40,19780,3616397.333
3121,500,200,12,12,10512,1574722.304
3122,500,200,12,16,12016,1909797.461
3123,500,200,12,19,13144,2153702.645
3124,500,200,12,22,14272,2391354.197
3125,500,200,12,25,15400,2622833.333
3126,500,200,12,28,16528,2848221.269
3127,500,200,12,32,18032,3139403.691
3128,500,200,12,36,19536,3420094.208
3129,500,200,12,40,21040,3690485.333
3131,500,200,14,12,11464,1646622.421
3132,500,200,14,16,12952,1978132.949
3133,500,200,14,19,14068,2219443.397
3134,500,200,14,22,15184,2454566.741
3135,500,200,14,25,16300,2683583.333
3136,500,200,14,28,17416,2906573.525
3137,500,200,14,32,18904,3194658.261
3138,500,200,14,36,20392,3472362.709
3139,500,200,14,40,21880,3739877.333
3141,500,200,16,12,12416,1718522.539
3142,500,200,16,16,13888,2046468.437
3143,500,200,16,19,14992,2285184.149
3144,500,200,16,22,16096,2517779.285
3145,500,200,16,25,17200,2744333.333
3146,500,200,16,28,18304,2964925.781
3147,500,200,16,32,19776,3249912.832
3148,500,200,16,36,21248,3524631.211
3149,500,200,16,40,22720,3789269.333
3151,500,200,19,12,13844,1826372.715
3152,500,200,19,16,15292,2148971.669
3153,500,200,19,19,16378,2383795.277
3154,500,200,19,22,17464,2612598.101
3155,500,200,19,25,18550,2835458.333
3156,500,200,19,28,19636,3052454.165
3157,500,200,19,32,21084,3332794.688
3158,500,200,19,36,22532,3603033.963
3159,500,200,19,40,23980,3863357.333
3161,500,200,22,12,15272,1934222.891
3162,500,200,22,16,16696,2251474.901
3163,500,200,22,19,17764,2482406.405
3164,500,200,22,22,18832,2707416.917
3165,500,200,22,25,19900,2926583.333
3166,500,200,22,28,20968,3139982.549
3167,500,200,22,32,22392,3415676.544
3168,500,200,22,36,23816,3681436.715
3169,500,200,22,40,25240,3937445.333
3211,500,250,9,12,10284,1752702.528
3212,500,250,9,16,12212,2182240.363
3213,500,250,9,19,13658,2494906.051
3214,500,250,9,22,15104,2799555.115
3215,500,250,9,25,16550,3096291.667
3216,500,250,9,28,17996,3385219.819
3217,500,250,9,32,19924,3758490.901
3218,500,250,9,36,21852,4118312.256
3219,500,250,9,40,23780,4464930.667
3221,500,250,12,12,11712,1860552.704
3222,500,250,12,16,13616,2284743.595
3223,500,250,12,19,15044,2593517.179
3224,500,250,12,22,16472,2894373.931
3225,500,250,12,25,17900,3187416.667
3226,500,250,12,28,19328,3472748.203
3227,500,250,12,32,21232,3841372.757
3228,500,250,12,36,23136,4196715.008
3229,500,250,12,40,25040,4539018.667
3231,500,250,14,12,12664,1932452.821
3232,500,250,14,16,14552,2353079.083
3233,500,250,14,19,15968,2659257.931
3234,500,250,14,22,17384,2957586.475
3235,500,250,14,25,18800,3248166.667
3236,500,250,14,28,20216,3531100.459
3237,500,250,14,32,22104,3896627.328
3238,500,250,14,36,23992,4248983.509
3239,500,250,14,40,25880,4588410.667
3241,500,250,16,12,13616,2004352.939
3242,500,250,16,16,15488,2421414.571
3243,500,250,16,19,16892,2724998.683
3244,500,250,16,22,18296,3020799.019
3245,500,250,16,25,19700,3308916.667
3246,500,250,16,28,21104,3589452.715
3247,500,250,16,32,22976,3951881.899
3248,500,250,16,36,24848,4301252.011
3249,500,250,16,40,26720,4637802.667
3251,500,250,19,12,15044,2112203.115
3252,500,250,19,16,16892,2523917.803
3253,500,250,19,19,18278,2823609.811
3254,500,250,19,22,19664,3115617.835
3255,500,250,19,25,21050,3400041.667
3256,500,250,19,28,22436,3676981.099
3257,500,250,19,32,24284,4034763.755
3258,500,250,19,36,26132,4379654.763
3259,500,250,19,40,27980,4711890.667
3261,500,250,22,12,16472,2220053.291
3262,500,250,22,16,18296,2626421.035
3263,500,250,22,19,19664,2922220.939
3264,500,250,22,22,21032,3210436.651
3265,500,250,22,25,22400,3491166.667
3266,500,250,22,28,23768,3764509.483
3267,500,250,22,32,25592,4117645.611
3268,500,250,22,36,27416,4458057.515
3269,500,250,22,40,29240,4785978.667
3311,500,300,9,12,11484,2038532.928
3312,500,300,9,16,13812,2557186.496
3313,500,300,9,19,15558,2934720.584
3314,500,300,9,22,17304,3302574.848
3315,500,300,9,25,19050,3660875
3316,500,300,9,28,20796,4009746.752
3317,500,300,9,32,23124,4460459.968
3318,500,300,9,36,25452,4894933.056
3319,500,300,9,40,27780,5313464
3321,500,300,12,12,12912,2146383.104
3322,500,300,12,16,15216,2659689.728
3323,500,300,12,19,16944,3033331.712
3324,500,300,12,22,18672,3397393.664
3325,500,300,12,25,20400,3752000
3326,500,300,12,28,22128,4097275.136
3327,500,300,12,32,24432,4543341.824
3328,500,300,12,36,26736,4973335.808
3329,500,300,12,40,29040,5387552
3331,500,300,14,12,13864,2218283.221
3332,500,300,14,16,16152,2728025.216
3333,500,300,14,19,17868,3099072.464
3334,500,300,14,22,19584,3460606.208
3335,500,300,14,25,21300,3812750
3336,500,300,14,28,23016,4155627.392
3337,500,300,14,32,25304,4598596.395
3338,500,300,14,36,27592,5025604.309
3339,500,300,14,40,29880,5436944
3341,500,300,16,12,14816,2290183.339
3342,500,300,16,16,17088,2796360.704
3343,500,300,16,19,18792,3164813.216
3344,500,300,16,22,20496,3523818.752
3345,500,300,16,25,22200,3873500
3346,500,300,16,28,23904,4213979.648
3347,500,300,16,32,26176,4653850.965
3348,500,300,16,36,28448,5077872.811
3349,500,300,16,40,30720,5486336
3351,500,300,19,12,16244,2398033.515
3352,500,300,19,16,18492,2898863.936
3353,500,300,19,19,20178,3263424.344
3354,500,300,19,22,21864,3618637.568
3355,500,300,19,25,23550,3964625
3356,500,300,19,28,25236,4301508.032
3357,500,300,19,32,27484,4736732.821
3358,500,300,19,36,29732,5156275.563
3359,500,300,19,40,31980,5560424
3361,500,300,22,12,17672,2505883.691
3362,500,300,22,16,19896,3001367.168
3363,500,300,22,19,21564,3362035.472
3364,500,300,22,22,23232,3713456.384
